Id,DESC,Level,Value
1,HP,1,100
1,HP,2,200
1,HP,3,250
1,HP,4,300
1,HP,5,350
1,HP,6,400
1,HP,7,450
1,HP,8,500
1,HP,9,550
1,HP,10,600
2,ATK,1,20
2,ATK,2,40
2,ATK,3,50
2,ATK,4,60
2,ATK,5,70
2,ATK,6,80
2,ATK,7,90
2,ATK,8,100
2,ATK,9,110
2,ATK,10,120
3,DEF,1,20
3,DEF,2,40
3,DEF,3,50
3,DEF,4,60
3,DEF,5,70
3,DEF,6,80
3,DEF,7,90
3,DEF,8,100
3,DEF,9,110
3,DEF,10,120
4,EXP,1,100
4,EXP,2,105
4,EXP,3,110
4,EXP,4,115
4,EXP,5,120
4,EXP,6,125
4,EXP,7,130
4,EXP,8,135
4,EXP,9,140
4,EXP,10,145
5,COIN,1,100
5,COIN,2,105
5,COIN,3,110
5,COIN,4,115
5,COIN,5,120
5,COIN,6,125
5,COIN,7,130
5,COIN,8,135
5,COIN,9,140
5,COIN,10,145
6,CRIT,1,100
6,CRIT,2,105
6,CRIT,3,110
6,CRIT,4,115
6,CRIT,5,120
6,CRIT,6,125
6,CRIT,7,130
6,CRIT,8,135
6,CRIT,9,140
6,CRIT,10,145
7,MOVE_SPEED,1,55
7,MOVE_SPEED,2,65
7,MOVE_SPEED,3,75
7,MOVE_SPEED,4,85
7,MOVE_SPEED,5,95
7,MOVE_SPEED,6,96
7,MOVE_SPEED,7,97
7,MOVE_SPEED,8,98
7,MOVE_SPEED,9,99
7,MOVE_SPEED,10,100
